id,name
0,empty
1,hydrogen
2,deuterium
3,tritium
4,helium
5,helium_3
6,lithium
8,beryllium
9,boron
10,carbon
12,nitrogen
13,oxygen
14,fluorine
17,sodium
18,magnesium
19,aluminium
20,silicon
21,phosphorus
22,sulfur
23,chlorine
24,argon
25,potassium
26,calcium
27,scandium
28,titanium
29,vanadium
30,chrome
31,manganese
32,iron
33,cobalt
34,nickel
35,copper
36,zinc
37,gallium
39,arsenic
43,rubidium
44,strontium
45,yttrium
47,niobium
48,molybdenum
52,palladium
54,silver
55,cadmium
56,indium
57,tin
58,antimony
59,tellurium
62,caesium
63,barium
64,lanthanum
65,cerium
66,praseodymium
67,neodymium
68,promethium
69,samarium
70,europium
71,gadolinium
72,terbium
73,dysprosium
74,holmium
75,erbium
76,thulium
77,ytterbium
78,lutetium
80,tantalum
81,tungsten
83,osmium
84,iridium
85,platinum
86,gold
87,mercury
89,lead
90,bismuth
93,radon
94,francium_gt5u
96,thorium
97,uranium235
98,uranium
100,plutonium
101,plutonium241
103,americium
106,spatialfluid
109,exciteddtcc
110,tengamraw
111,tengampurified
112,tengamattuned
113,exciteddtpc
118,netherair
119,nethersemifluid
120,nefariousgas
121,exciteddtrc
122,nefariousoil
123,poornetherwaste
124,richnetherwaste
125,hellishmetal
126,exciteddtec
127,exciteddtsc
129,neutronium
130,dimensionallytranscendentstellarcatalyst
131,superconductoruivbase
132,netherite
133,activatednetherite
134,superconductorumvbase
135,prismarinesolution
136,prismarinecontaminatedhydrogenperoxide
137,prismarinerichnitrobenzenesolution
138,prismarinecontaminatednitrobenzenesolution
139,universium
140,supercoolant
141,eternity
142,primordialmatter
143,magmatter
144,quarkgluonplasma
145,phononmedium
146,phononcrystalsolution
147,sixphasedcopper
148,mellion
149,creon
150,gravitonshard
151,dimensionallyshiftedsuperfluid
152,protohalkonitebase
153,hotprotohalkonite
154,protohalkonite
155,moltenexohalkonitebase
156,hotexohalkonite
157,exohalkonite
158,antimatter
159,protomatter
160,sgcrystalslurry
161,prismaticgas
162,prismaticacid
163,prismaticnaquadah
164,prismaticnaquadahcompositeslurry
165,brightlumipodextract
166,biocatalyzedpropulsionfluid
167,chlorite
168,staurolite
169,cordierite
170,datolite
171,metamorphicmineralmixture
172,plagioclase
173,unformed hexanite
174,hexanite
175,impurefranciumsolution
176,franciumslurry
177,franciumhydroxide
178,thoriumelutionadsorbent
179,phosphoruschlorinemixture
180,phosphoruspentachloride
181,toxicair
182,toxicslurry
183,destabilizationslurry
184,agitatingslurry
185,ultracontaminatedgas
186,stagnantwastewater
187,activatedwastewater
188,chlorosulfonicacid
189,shijima
